date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:19	19106/19106	---M--	200	added ('OK')	image/jpeg	etag:%223e32bc6876bb4b9976de5f2e7a722c5e%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/m042euxbsjyg0q4lljlwezp3201512765912ssbadracyon093.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/m042euxbsjyg0q4lljlwezp3201512765912ssbadracyon093.jpg	(from http://www.sportee.in/fk_collection/Sports/Badminton/Net/?l1=HHKD&l2=FKJM&l3=GGLM)
15:52:04	493688/-1	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202015%2010:20:29%20GMT	http://www.sportee.in/fk_collection/Sports/Football/Guard/?l1=HHKD&l2=FKKG&l3=GKIF	/home/sudhir/websites/Sportee%20Old%20website/www.sportee.in/fk_collection/Sports/Football/Guard/index7090.html	(from http://www.sportee.in/)
15:52:10	26492/26492	---M--	200	added ('OK')	image/jpeg	etag:%221d3508c413c7aeb39a03f963f93bf01e%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/m042euxbsjyg0q4lljlwezp3201512765912ssbadracyon010.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/m042euxbsjyg0q4lljlwezp3201512765912ssbadracyon010.jpg	(from http://www.sportee.in/fk_collection/Sports/Badminton/Shoe/?l1=HHKD&l2=FKJM&l3=GMGK)
15:52:13	18781/18781	---M--	200	added ('OK')	image/jpeg	etag:%225a118645b61434686655c2737777fa3e%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/mequaignvbl0mjrz0d2hh3lp201522784215sscriaccbsm031.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/mequaignvbl0mjrz0d2hh3lp201522784215sscriaccbsm031.jpg	(from http://www.sportee.in/fk_collection/Sports/Badminton/Shoe/?l1=HHKD&l2=FKJM&l3=GMGK)
15:52:20	35635/35635	---M--	200	added ('OK')	image/jpeg	etag:%22a93b66a1826a42fd9928c63d6944efb3%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/mequaignvbl0mjrz0d2hh3lp201522784215ssfoobalbsm014.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/mequaignvbl0mjrz0d2hh3lp201522784215ssfoobalbsm014.jpg	(from http://www.sportee.in/fk_collection/Sports/Badminton/Shoe/?l1=HHKD&l2=FKJM&l3=GMGK)
15:52:25	493610/-1	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202015%2010:20:46%20GMT	http://www.sportee.in/fk_collection/Sports/Football/Goal/?l1=HHKD&l2=FKKG&l3=GLMI	/home/sudhir/websites/Sportee%20Old%20website/www.sportee.in/fk_collection/Sports/Football/Goal/index1f56.html	(from http://www.sportee.in/)
15:52:29	496163/-1	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202015%2010:20:52%20GMT	http://www.sportee.in/fk_collection/Sports/Football/Shoe/?l1=HHKD&l2=FKKG&l3=GMGK	/home/sudhir/websites/Sportee%20Old%20website/www.sportee.in/fk_collection/Sports/Football/Shoe/index5d29.html	(from http://www.sportee.in/)
15:52:34	21261/21261	---M--	200	added ('OK')	image/jpeg	etag:%220864800751a7708c1362d14c557e30e5%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/nmhm1faaa3gzqwavlbrku4vt20156215339ssbadraccos502.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/nmhm1faaa3gzqwavlbrku4vt20156215339ssbadraccos502.jpg	(from http://www.sportee.in/fk_collection/Sports/Tennis/?l1=HHKD&l2=FKKF)
15:52:36	10525/10525	---M--	200	added ('OK')	image/jpeg	etag:%2284249e06d2d90cde513969ae90751d17%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/m042euxbsjyg0q4lljlwezp320151276578sscriaccssb070.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/m042euxbsjyg0q4lljlwezp320151276578sscriaccssb070.jpg	(from http://www.sportee.in/fk_collection/Sports/Tennis/?l1=HHKD&l2=FKKF)
15:52:37	491765/-1	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202015%2010:21:01%20GMT	http://www.sportee.in/fk_collection/Sports/Golf/?l1=HHKD&l2=FKMM	/home/sudhir/websites/Sportee%20Old%20website/www.sportee.in/fk_collection/Sports/Golf/indexa180.html	(from http://www.sportee.in/)
